Descritpion_ID,Top_20_Image_IDs
0.txt,626.jpg 359.jpg 105.jpg 292.jpg 742.jpg 714.jpg 152.jpg 597.jpg 942.jpg 736.jpg 1698.jpg 1420.jpg 594.jpg 255.jpg 1380.jpg 21.jpg 1480.jpg 231.jpg 1955.jpg 983.jpg
1.txt,185.jpg 1071.jpg 457.jpg 1529.jpg 1867.jpg 758.jpg 1742.jpg 1341.jpg 80.jpg 1929.jpg 1143.jpg 158.jpg 818.jpg 1907.jpg 1596.jpg 888.jpg 14.jpg 1733.jpg 1601.jpg 1550.jpg
2.txt,838.jpg 1724.jpg 634.jpg 1183.jpg 1840.jpg 42.jpg 598.jpg 159.jpg 1713.jpg 1866.jpg 445.jpg 953.jpg 511.jpg 934.jpg 115.jpg 979.jpg 372.jpg 338.jpg 323.jpg 322.jpg
3.txt,1514.jpg 469.jpg 1748.jpg 1035.jpg 1513.jpg 75.jpg 1769.jpg 1315.jpg 1609.jpg 1755.jpg 1486.jpg 66.jpg 1185.jpg 799.jpg 90.jpg 397.jpg 1394.jpg 930.jpg 1922.jpg 1502.jpg
4.txt,292.jpg 359.jpg 1698.jpg 742.jpg 152.jpg 736.jpg 255.jpg 21.jpg 206.jpg 942.jpg 88.jpg 1816.jpg 594.jpg 1298.jpg 1924.jpg 626.jpg 540.jpg 687.jpg 1180.jpg 430.jpg
5.txt,771.jpg 630.jpg 1335.jpg 643.jpg 492.jpg 330.jpg 1693.jpg 703.jpg 1402.jpg 1991.jpg 1830.jpg 846.jpg 1837.jpg 814.jpg 1426.jpg 51.jpg 1943.jpg 379.jpg 526.jpg 1398.jpg
6.txt,1320.jpg 1607.jpg 1815.jpg 1352.jpg 1660.jpg 1855.jpg 996.jpg 1275.jpg 1122.jpg 897.jpg 1216.jpg 1874.jpg 1701.jpg 648.jpg 1625.jpg 583.jpg 1458.jpg 910.jpg 429.jpg 1790.jpg
7.txt,756.jpg 1949.jpg 1961.jpg 136.jpg 1270.jpg 1155.jpg 1328.jpg 528.jpg 975.jpg 1239.jpg 481.jpg 1900.jpg 1285.jpg 1249.jpg 168.jpg 1857.jpg 1085.jpg 689.jpg 987.jpg 448.jpg
8.txt,419.jpg 727.jpg 103.jpg 1031.jpg 923.jpg 1037.jpg 1261.jpg 719.jpg 464.jpg 1948.jpg 208.jpg 111.jpg 1618.jpg 1918.jpg 1348.jpg 1833.jpg 1674.jpg 1931.jpg 531.jpg 1556.jpg
9.txt,845.jpg 1837.jpg 630.jpg 321.jpg 1693.jpg 1943.jpg 1402.jpg 1761.jpg 1335.jpg 1426.jpg 643.jpg 492.jpg 771.jpg 846.jpg 526.jpg 1913.jpg 1287.jpg 1895.jpg 814.jpg 330.jpg
