Descritpion_ID,Top_20_Image_IDs
0.txt,1563.jpg 989.jpg 1349.jpg 600.jpg 759.jpg 1882.jpg 1395.jpg 1331.jpg 1320.jpg 481.jpg 1251.jpg 715.jpg 1397.jpg 1289.jpg 591.jpg 219.jpg 790.jpg 1361.jpg 500.jpg 1074.jpg
1.txt,1167.jpg 403.jpg 1089.jpg 429.jpg 419.jpg 1982.jpg 1042.jpg 180.jpg 993.jpg 322.jpg 118.jpg 702.jpg 1987.jpg 871.jpg 458.jpg 1179.jpg 1180.jpg 1421.jpg 1593.jpg 1268.jpg
2.txt,964.jpg 959.jpg 932.jpg 1351.jpg 195.jpg 1473.jpg 944.jpg 1392.jpg 1341.jpg 1208.jpg 860.jpg 969.jpg 1911.jpg 1358.jpg 1101.jpg 599.jpg 1449.jpg 1143.jpg 1744.jpg 639.jpg
3.txt,1671.jpg 1941.jpg 1146.jpg 172.jpg 1784.jpg 154.jpg 1881.jpg 1995.jpg 143.jpg 1243.jpg 1466.jpg 302.jpg 605.jpg 1207.jpg 1050.jpg 809.jpg 96.jpg 1301.jpg 48.jpg 591.jpg
4.txt,354.jpg 445.jpg 1149.jpg 855.jpg 481.jpg 1882.jpg 1933.jpg 1112.jpg 600.jpg 864.jpg 759.jpg 400.jpg 1349.jpg 1320.jpg 897.jpg 1251.jpg 790.jpg 715.jpg 1687.jpg 1395.jpg
5.txt,1008.jpg 1800.jpg 862.jpg 983.jpg 1082.jpg 1695.jpg 360.jpg 869.jpg 698.jpg 65.jpg 636.jpg 332.jpg 471.jpg 1121.jpg 1368.jpg 1884.jpg 863.jpg 336.jpg 275.jpg 916.jpg
6.txt,1008.jpg 471.jpg 1800.jpg 1368.jpg 862.jpg 26.jpg 1455.jpg 1695.jpg 1082.jpg 937.jpg 1010.jpg 1531.jpg 720.jpg 271.jpg 318.jpg 275.jpg 595.jpg 323.jpg 833.jpg 1699.jpg
7.txt,698.jpg 1008.jpg 206.jpg 1800.jpg 862.jpg 1695.jpg 1082.jpg 309.jpg 1154.jpg 94.jpg 983.jpg 1368.jpg 323.jpg 1117.jpg 471.jpg 1887.jpg 1625.jpg 584.jpg 1767.jpg 1471.jpg
8.txt,591.jpg 1074.jpg 1563.jpg 1331.jpg 219.jpg 989.jpg 1007.jpg 1962.jpg 1428.jpg 427.jpg 1289.jpg 1875.jpg 483.jpg 831.jpg 91.jpg 1840.jpg 67.jpg 620.jpg 947.jpg 794.jpg
9.txt,855.jpg 354.jpg 1933.jpg 1112.jpg 864.jpg 1974.jpg 694.jpg 1367.jpg 445.jpg 540.jpg 501.jpg 1515.jpg 1149.jpg 698.jpg 617.jpg 221.jpg 1703.jpg 1546.jpg 892.jpg 1474.jpg
